fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,Road%,Imp%,BD,REDNO2_mean,petrochem_distance
197,0,2.23E-05,6.78E-21,39.66506076,0.326324274,-0.180862032,0,99.11902061,65.65134206,2.23E-05,20925.61
198,0.333145744,2.92E-05,6.78E-21,39.85454822,0.422104764,-0.193785289,0,96.27217951,69.19714726,2.92E-05,19323.37
199,6.912325047,2.08E-05,2.37E-06,33.6702888,0.549397301,-0.181703012,0,100.0135705,68.88728757,2.08E-05,37031.86
200,0.416469714,3.93E-05,2.03E-20,37.44481301,0.446776754,-0.162273101,0,100.0013195,65.29551001,NA,4423.72
201,2.2904567,3.17E-05,0,39.42828131,0.934884462,-0.17204259,5.066767851,99.93331988,68.91498355,3.17E-05,12686.12
202,3.033191076,3.02E-05,0,39.68689156,0.668513454,-0.166699541,14.84667211,94.34126569,62.80857219,NA,3888.8
203,8.536864534,2.92E-05,6.78E-21,38.93695855,0.436319335,-0.149364899,0,81.59299143,61.20168412,2.92E-05,19713.11
204,0.020822256,3.17E-05,0,38.65562153,0.366109799,-0.18422873,11.07049948,100.009296,61.45341845,3.17E-05,12320.52
205,0,2.44E-05,3.39E-21,40.97002864,0.700684154,-0.21358695,0,99.96246421,64.66118015,NA,5255.7
206,3.387230065,2.91E-05,0,38.46388674,0.418619319,-0.201919566,14.03479343,95.83501129,61.94882855,2.91E-05,13411.58
207,0.09022165,2.65E-05,0,36.1603303,0.523003674,-0.128886859,0,99.99334826,63.14127446,2.65E-05,35604.6
208,4.386663212,2.82E-05,0,39.83646274,0.706008472,-0.180397181,0.069409228,87.95537378,59.66417243,2.82E-05,20409.89
209,4.705505775,2.49E-05,0,38.82730985,0.902607794,-0.159870339,0,88.27334506,61.34508192,2.49E-05,26975.02
210,0.013882035,3.95E-05,1.36E-20,38.40594697,0.505896545,-0.175589229,4.726832993,99.06914436,62.73985818,NA,1160.33
211,0.749619659,3.02E-05,0,40.2317028,0.540038055,-0.211545991,7.884888266,99.96316973,78.84888266,3.02E-05,10558.77
